Nome do Banco|Nome da Tabela/View|PK: xxx FK: xxx
Ativvus_Login|dbo.Usuario_Envio_TermoResponsabilidade|PK: DataCadastro
Ativvus_Login|dbo.Usuario_Envio_TermoResponsabilidade|PK: Empresa
Ativvus_Login|dbo.Usuario_Envio_TermoResponsabilidade|PK: Id_Ativo
Ativvus_Login|dbo.Usuario_Envio_TermoResponsabilidade|PK: Id_Usuario
Ativvus_Login|dbo.Usuario_Global|PK: Id_Usuario
branco|dbo.Aditoria_item|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Aditoria_item|FK: id_auditoria_item  branco dbo.Aditoria_resumo(id_auditoria_resumo)
branco|dbo.Aditoria_item|FK: Id_Bilhete_Tipo  branco dbo.Bilhete_Tipo(Id_Bilhete_Tipo)
branco|dbo.Aditoria_item|FK: Id_Conglomerado  branco dbo.Conglomerado(Id_Conglomerado)
branco|dbo.Aditoria_item|PK: id_auditoria_item
branco|dbo.Aditoria_resumo|PK: id_auditoria_resumo
branco|dbo.Agenda_Marcacao_Particular|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Agenda_Marcacao_Particular|PK: Id_Usuario
branco|dbo.Agenda_Marcacao_Particular|PK: Nr_Destino
branco|dbo.App_Captura_Imei|FK: Id_Usuario  branco dbo.Usuario(Id_Usuario)
branco|dbo.Ativo_App_Trafego_Aplicativo|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Ativo_App_Trafego|FK: Id_Ativo  branco dbo.Ativo(Id_Ativo)
branco|dbo.Ativo_Complemento|FK: Id_Ativo_Tipo  branco dbo.Ativo_Tipo(Id_Ativo_Tipo)
branco|dbo.Ativo_Complemento|PK: Id_Ativo_Complemento
branco|dbo.Ativo_Consumidor_Alerta|FK: Id_Consumidor  branco dbo.Consumidor(Id_Consumidor)
branco|dbo.Ativo_Fabricante|PK: Id_Ativo_Fabricante
branco|dbo.Ativo_Fr_Aquisicao|PK: Id_Ativo_Fr_Aquisicao
branco|dbo.Ativo_log|PK: Id_Ativo_log
